Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.03     57.92     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c44)
  0.03     57.94     0.02                             blake2b_compress (blake2b-ref.c:216 @ 9ca6)
  0.03     57.96     0.02                             blake2b_update.part.0 (blake2b-ref.c:234 @ 9df2)
  0.03     57.98     0.02                             rotr64 (blake2-impl.h:155 @ 88f1)
  0.03     58.00     0.02                             rotr64 (blake2-impl.h:155 @ 894e)
  0.03     58.02     0.02                             rotr64 (blake2-impl.h:155 @ 9160)
  0.03     58.04     0.02                             rotr64 (blake2-impl.h:155 @ 922c)
  0.03     58.06     0.02                             rotr64 (blake2-impl.h:155 @ 98b1)
  0.03     58.08     0.02                             rotr64 (blake2-impl.h:155 @ 9a49)
  0.03     58.10     0.02                             rs_appendmiss (delta.c:291 @ 60af)
  0.02     58.11     0.02                             RollsumUpdate (rollsum.c:38 @ 7eea)
  0.02     58.13     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88a2)
  0.02     58.14     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b1b)
  0.02     58.16     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8b67)
  0.02     58.17     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8b71)
  0.02     58.19     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c93)
  0.02     58.20     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92c3)
  0.02     58.22     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9435)
  0.02     58.23     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9586)
  0.02     58.25     0.02                             blake2b_compress (blake2b-ref.c:208 @ 962c)
  0.02     58.26     0.02                             blake2b_compress (blake2b-ref.c:209 @ 96a7)
  0.02     58.28     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9701)
  0.02     58.29     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9737)
  0.02     58.31     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99f6)
  0.02     58.32     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bff)
  0.02     58.34     0.02                             rotr64 (blake2-impl.h:155 @ 870b)
  0.02     58.35     0.02                             rotr64 (blake2-impl.h:155 @ 8a3e)
  0.02     58.37     0.02                             rotr64 (blake2-impl.h:155 @ 8c8c)
  0.02     58.38     0.02                             rotr64 (blake2-impl.h:155 @ 8f8e)
  0.02     58.40     0.02                             rotr64 (blake2-impl.h:155 @ 9113)
  0.02     58.41     0.02                             rotr64 (blake2-impl.h:155 @ 9c63)
  0.02     58.43     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8683)
  0.02     58.44     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9a67)
  0.02     58.46     0.02                             rotr64 (blake2-impl.h:155 @ 867b)
  0.02     58.47     0.02                             rotr64 (blake2-impl.h:155 @ 9a63)
  0.02     58.48     0.01    32880   304.18   304.18  rs_scoop_input (scoop.c:68 @ 7f80)
  0.02     58.49     0.01                             RollsumUpdate (rollsum.c:38 @ 7dfe)
  0.02     58.50     0.01                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.02     58.51     0.01                             blake2b_compress (blake2b-ref.c:200 @ 85c6)
  0.02     58.52     0.01                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.02     58.53     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8616)
  0.02     58.54     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86be)
  0.02     58.55     0.01                             blake2b_compress (blake2b-ref.c:200 @ 872a)
  0.02     58.56     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8783)
  0.02     58.57     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8796)
  0.02     58.58     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87a7)
  0.02     58.59     0.01                             blake2b_compress (blake2b-ref.c:201 @ 882d)
  0.02     58.60     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8837)
  0.02     58.61     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8891)
  0.02     58.62     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88b1)
  0.02     58.63     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88e0)
  0.02     58.64     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88f5)
  0.02     58.65     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8968)
  0.02     58.66     0.01                             blake2b_compress (blake2b-ref.c:202 @ 89c0)
  0.02     58.67     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b0a)
  0.02     58.68     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b43)
  0.02     58.69     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8b7b)
  0.02     58.70     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8bed)
  0.02     58.71     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c2c)
  0.02     58.72     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c9d)
  0.02     58.73     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cb5)
  0.02     58.74     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8d79)
  0.02     58.75     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8d8d)
  0.02     58.76     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8df2)
  0.02     58.77     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e06)
  0.02     58.78     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8eca)
