Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.01    110.11     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e62)
  0.01    110.12     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8ee7)
  0.01    110.13     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f3a)
  0.01    110.14     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f62)
  0.01    110.15     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f7d)
  0.01    110.16     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f97)
  0.01    110.17     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fab)
  0.01    110.18     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8ff1)
  0.01    110.19     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9027)
  0.01    110.20     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90ac)
  0.01    110.21     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90d0)
  0.01    110.22     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9109)
  0.01    110.23     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91a9)
  0.01    110.24     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9236)
  0.01    110.25     0.01                             blake2b_compress (blake2b-ref.c:206 @ 92a7)
  0.01    110.26     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9318)
  0.01    110.27     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9329)
  0.01    110.28     0.01                             blake2b_compress (blake2b-ref.c:206 @ 933d)
  0.01    110.29     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9346)
  0.01    110.30     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9374)
  0.01    110.31     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9399)
  0.01    110.32     0.01                             blake2b_compress (blake2b-ref.c:207 @ 93b1)
  0.01    110.33     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9429)
  0.01    110.34     0.01                             blake2b_compress (blake2b-ref.c:207 @ 948d)
  0.01    110.35     0.01                             blake2b_compress (blake2b-ref.c:207 @ 94c6)
  0.01    110.36     0.01                             blake2b_compress (blake2b-ref.c:208 @ 95a8)
  0.01    110.37     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9609)
  0.01    110.38     0.01                             blake2b_compress (blake2b-ref.c:208 @ 96a6)
  0.01    110.39     0.01                             blake2b_compress (blake2b-ref.c:208 @ 96ba)
  0.01    110.40     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9706)
  0.01    110.41     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9801)
  0.01    110.42     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9821)
  0.01    110.43     0.01                             blake2b_compress (blake2b-ref.c:209 @ 982c)
  0.01    110.44     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9839)
  0.01    110.45     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9850)
  0.01    110.46     0.01                             blake2b_compress (blake2b-ref.c:209 @ 98b2)
  0.01    110.47     0.01                             blake2b_compress (blake2b-ref.c:209 @ 98c6)
  0.01    110.48     0.01                             blake2b_compress (blake2b-ref.c:210 @ 990b)
  0.01    110.49     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a45)
  0.01    110.50     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9ac6)
  0.01    110.51     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9ae1)
  0.01    110.52     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b78)
  0.01    110.53     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b8a)
  0.01    110.54     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bf2)
  0.01    110.55     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c0e)
  0.01    110.56     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c18)
  0.01    110.57     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c80)
  0.01    110.58     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c9f)
  0.01    110.59     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9cb4)
  0.01    110.60     0.01                             blake2b_compress (blake2b-ref.c:216 @ 9d16)
  0.01    110.61     0.01                             blake2b_final (blake2b-ref.c:264 @ a19a)
  0.01    110.62     0.01                             blake2b_increment_counter (blake2b-ref.c:69 @ 9db5)
  0.01    110.63     0.01                             blake2b_increment_counter (blake2b-ref.c:69 @ 9dbd)
  0.01    110.64     0.01                             blake2b_increment_counter (blake2b-ref.c:68 @ 9e0a)
  0.01    110.65     0.01                             blake2b_init (blake2b-ref.c:104 @ 9f68)
  0.01    110.66     0.01                             blake2b_init_param (blake2b-ref.c:89 @ 9f1a)
  0.01    110.67     0.01                             blake2b_init_param (blake2b-ref.c:90 @ 9f24)
  0.01    110.68     0.01                             blake2b_update (blake2b-ref.c:221 @ 9d30)
  0.01    110.69     0.01                             blake2b_update (blake2b-ref.c:246 @ 9d81)
  0.01    110.70     0.01                             blake2b_update (blake2b-ref.c:235 @ 9dd8)
  0.01    110.71     0.01                             blake2b_update.part.0 (blake2b-ref.c:234 @ 9e62)
  0.01    110.72     0.01                             hashtable_add (hashtable.h:273 @ 4b57)
  0.01    110.73     0.01                             hashtable_find (hashtable.h:292 @ 49c3)
  0.01    110.74     0.01                             rabinkarp_pow (rabinkarp.c:77 @ 7fb1)
  0.01    110.75     0.01                             rabinkarp_update (rabinkarp.c:94 @ 7f6f)
  0.01    110.76     0.01                             rabinkarp_update (rabinkarp.c:92 @ 7f73)
  0.01    110.77     0.01                             rotr64 (blake2-impl.h:155 @ 8610)
  0.01    110.78     0.01                             rotr64 (blake2-impl.h:155 @ 8792)
  0.01    110.79     0.01                             rotr64 (blake2-impl.h:155 @ 87a9)
  0.01    110.80     0.01                             rotr64 (blake2-impl.h:155 @ 8831)
  0.01    110.81     0.01                             rotr64 (blake2-impl.h:155 @ 8888)
  0.01    110.82     0.01                             rotr64 (blake2-impl.h:155 @ 89be)
  0.01    110.83     0.01                             rotr64 (blake2-impl.h:155 @ 8acf)
  0.01    110.84     0.01                             rotr64 (blake2-impl.h:155 @ 8b4e)
  0.01    110.85     0.01                             rotr64 (blake2-impl.h:155 @ 8bf1)
  0.01    110.86     0.01                             rotr64 (blake2-impl.h:155 @ 8cd0)
  0.01    110.87     0.01                             rotr64 (blake2-impl.h:155 @ 8cfc)
  0.01    110.88     0.01                             rotr64 (blake2-impl.h:155 @ 8d21)
  0.01    110.89     0.01                             rotr64 (blake2-impl.h:155 @ 8d49)
  0.01    110.90     0.01                             rotr64 (blake2-impl.h:155 @ 8d5e)
  0.01    110.91     0.01                             rotr64 (blake2-impl.h:155 @ 8d71)
  0.01    110.92     0.01                             rotr64 (blake2-impl.h:155 @ 8f18)
  0.01    110.93     0.01                             rotr64 (blake2-impl.h:155 @ 8f37)
  0.01    110.94     0.01                             rotr64 (blake2-impl.h:155 @ 8f93)
  0.01    110.95     0.01                             rotr64 (blake2-impl.h:155 @ 900f)
  0.01    110.96     0.01                             rotr64 (blake2-impl.h:155 @ 90b5)
  0.01    110.97     0.01                             rotr64 (blake2-impl.h:155 @ 90e1)
  0.01    110.98     0.01                             rotr64 (blake2-impl.h:155 @ 9110)
  0.01    110.99     0.01                             rotr64 (blake2-impl.h:155 @ 9152)
  0.01    111.00     0.01                             rotr64 (blake2-impl.h:155 @ 91d0)
  0.01    111.01     0.01                             rotr64 (blake2-impl.h:155 @ 9242)
  0.01    111.02     0.01                             rotr64 (blake2-impl.h:155 @ 924f)
  0.01    111.03     0.01                             rotr64 (blake2-impl.h:155 @ 928e)
  0.01    111.04     0.01                             rotr64 (blake2-impl.h:155 @ 929c)
  0.01    111.05     0.01                             rotr64 (blake2-impl.h:155 @ 92d8)
  0.01    111.06     0.01                             rotr64 (blake2-impl.h:155 @ 9343)
  0.01    111.07     0.01                             rotr64 (blake2-impl.h:155 @ 9450)
  0.01    111.08     0.01                             rotr64 (blake2-impl.h:155 @ 9489)
  0.01    111.09     0.01                             rotr64 (blake2-impl.h:155 @ 9561)
  0.01    111.10     0.01                             rotr64 (blake2-impl.h:155 @ 965c)
  0.01    111.11     0.01                             rotr64 (blake2-impl.h:155 @ 97f9)
  0.01    111.12     0.01                             rotr64 (blake2-impl.h:155 @ 9824)
  0.01    111.13     0.01                             rotr64 (blake2-impl.h:155 @ 9885)
  0.01    111.14     0.01                             rotr64 (blake2-impl.h:155 @ 98aa)
  0.01    111.15     0.01                             rotr64 (blake2-impl.h:155 @ 9921)
  0.01    111.16     0.01                             rotr64 (blake2-impl.h:155 @ 999e)
  0.01    111.17     0.01                             rotr64 (blake2-impl.h:155 @ 99c2)
  0.01    111.18     0.01                             rotr64 (blake2-impl.h:155 @ 99df)
  0.01    111.19     0.01                             rotr64 (blake2-impl.h:155 @ 9a62)
  0.01    111.20     0.01                             rotr64 (blake2-impl.h:155 @ 9b37)
  0.01    111.21     0.01                             rotr64 (blake2-impl.h:155 @ 9b3e)
  0.01    111.22     0.01                             rotr64 (blake2-impl.h:155 @ 9c9c)
  0.01    111.23     0.01                             rs_appendflush (delta.c:309 @ 61b9)
  0.01    111.24     0.01                             rs_block_match_cmp (sumset.c:74 @ 47fb)
  0.01    111.25     0.01                             rs_block_match_cmp (sumset.c:76 @ 4807)
  0.01    111.26     0.01                             rs_calc_strong_sum (checksum.c:68 @ 580e)
  0.01    111.27     0.01                             rs_calc_strong_sum (checksum.c:65 @ 5834)
  0.01    111.28     0.01                             rs_getinput (delta.c:208 @ 5de7)
  0.01    111.29     0.01                             rs_getinput (delta.c:209 @ 61c0)
  0.01    111.30     0.01                             rs_infilebuf_fill (buf.c:117 @ 5688)
  0.01    111.31     0.01                             rs_job_drive (job.c:175 @ 684d)
  0.01    111.32     0.01                             rs_job_iter (job.c:101 @ 6697)
  0.01    111.33     0.01                             rs_job_iter (job.c:102 @ 669b)
  0.01    111.34     0.01                             rs_job_iter (job.c:114 @ 674b)
  0.01    111.35     0.01                             rs_job_work (job.c:126 @ 66bb)
  0.01    111.36     0.01                             rs_loadsig_s_magic (readsums.c:135 @ 7a95)
  0.01    111.37     0.01                             rs_loadsig_s_strong (readsums.c:82 @ 7c4f)
  0.01    111.38     0.01                             rs_loadsig_s_stronglen (readsums.c:104 @ 7bf1)
  0.01    111.39     0.01                             rs_outfilebuf_drain (buf.c:152 @ 56c6)
  0.01    111.40     0.01                             rs_signature_add_block (sumset.c:243 @ 46be)
  0.01    111.41     0.01                             rs_signature_find_match (sumset.c:254 @ 483e)
  0.01    111.42     0.01                             rs_signature_strongsum_kind (sumset.h:117 @ 47ec)
  0.01    111.43     0.01                             rs_suck_byte (netint.c:92 @ 74ad)
  0.01    111.44     0.01                             rs_suck_netint (netint.c:107 @ 7529)
  0.01    111.45     0.01                             rs_tube_catchup_copy (tube.c:120 @ 8308)
  0.01    111.46     0.01                             rs_tube_copy_from_scoop (tube.c:102 @ 83f9)
  0.01    111.47     0.01                             rs_tube_write (tube.c:199 @ 84fe)
  0.01    111.48     0.01                             secure_zero_memory (blake2-impl.h:162 @ a1c6)
  0.01    111.49     0.01                             weaksum_reset (checksum.h:61 @ 614b)
  0.00    111.49     0.01  1048834     4.77     4.77  rs_loadsig_s_weak (readsums.c:57 @ 7aa0)
  0.00    111.50     0.01  1048577     4.77     4.77  rs_delta_s_scan (delta.c:120 @ 5dc0)
  0.00    111.50     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8654)
  0.00    111.51     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8686)
  0.00    111.51     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8710)
  0.00    111.52     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8719)
  0.00    111.52     0.01                             blake2b_compress (blake2b-ref.c:200 @ 874f)
  0.00    111.53     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87db)
  0.00    111.53     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8806)
  0.00    111.54     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8821)
  0.00    111.54     0.01                             blake2b_compress (blake2b-ref.c:201 @ 89b2)
  0.00    111.55     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ab6)
  0.00    111.55     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b27)
  0.00    111.56     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b4b)
  0.00    111.56     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b52)
  0.00    111.57     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8b84)
