Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.14      8.13     0.02                             rs_calc_strong_sum (checksum.c:64 @ 5b20)
  0.14      8.14     0.02                             rs_tube_catchup (tube.c:138 @ 89a7)
  0.10      8.15     0.01  1048576     9.54     9.54  rs_calc_strong_sum (checksum.c:59 @ 5ae0)
  0.10      8.16     0.01  1048576     9.54     9.54  rs_calc_weak_sum (checksum.c:33 @ 5a60)
  0.10      8.17     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8d80)
  0.10      8.18     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8dd1)
  0.10      8.19     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8e45)
  0.10      8.20     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8e6a)
  0.10      8.21     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8e87)
  0.10      8.22     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8efb)
  0.10      8.23     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8f06)
  0.10      8.24     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8f37)
  0.10      8.25     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8f66)
  0.10      8.26     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8f7d)
  0.10      8.27     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8f8a)
  0.10      8.28     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8fa2)
  0.10      8.29     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8fb5)
  0.10      8.30     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8fd0)
  0.10      8.31     0.01                             blake2b_compress (blake2b-ref.c:201 @ 908e)
  0.10      8.32     0.01                             blake2b_compress (blake2b-ref.c:201 @ 90eb)
  0.10      8.33     0.01                             blake2b_compress (blake2b-ref.c:201 @ 917b)
  0.10      8.34     0.01                             blake2b_compress (blake2b-ref.c:202 @ 9221)
  0.10      8.35     0.01                             blake2b_compress (blake2b-ref.c:202 @ 9257)
  0.10      8.36     0.01                             blake2b_compress (blake2b-ref.c:202 @ 92dc)
  0.10      8.37     0.01                             blake2b_compress (blake2b-ref.c:202 @ 931b)
  0.10      8.38     0.01                             blake2b_compress (blake2b-ref.c:202 @ 9361)
  0.10      8.39     0.01                             blake2b_compress (blake2b-ref.c:203 @ 9404)
  0.10      8.40     0.01                             blake2b_compress (blake2b-ref.c:203 @ 9479)
  0.10      8.41     0.01                             blake2b_compress (blake2b-ref.c:203 @ 94b1)
  0.10      8.42     0.01                             blake2b_compress (blake2b-ref.c:203 @ 94c8)
  0.10      8.43     0.01                             blake2b_compress (blake2b-ref.c:204 @ 9641)
  0.10      8.44     0.01                             blake2b_compress (blake2b-ref.c:204 @ 9735)
  0.10      8.45     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9791)
  0.10      8.46     0.01                             blake2b_compress (blake2b-ref.c:205 @ 97b3)
  0.10      8.47     0.01                             blake2b_compress (blake2b-ref.c:205 @ 97c7)
  0.10      8.48     0.01                             blake2b_compress (blake2b-ref.c:205 @ 97d1)
  0.10      8.49     0.01                             blake2b_compress (blake2b-ref.c:205 @ 97ff)
  0.10      8.50     0.01                             blake2b_compress (blake2b-ref.c:205 @ 984d)
  0.10      8.51     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9874)
  0.10      8.52     0.01                             blake2b_compress (blake2b-ref.c:205 @ 98a9)
  0.10      8.53     0.01                             blake2b_compress (blake2b-ref.c:205 @ 98c4)
  0.10      8.54     0.01                             blake2b_compress (blake2b-ref.c:205 @ 98e6)
  0.10      8.55     0.01                             blake2b_compress (blake2b-ref.c:206 @ 99e0)
  0.10      8.56     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9a50)
  0.10      8.57     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9a89)
  0.10      8.58     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9ac9)
