Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.02     50.64     0.01    65613   152.43   152.43  rs_scoop_readahead (scoop.c:149 @ 8170)
  0.02     50.65     0.01                             blake2b_compress (blake2b-ref.c:200 @ 862c)
  0.02     50.66     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.02     50.67     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8665)
  0.02     50.68     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86d1)
  0.02     50.69     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86f3)
  0.02     50.70     0.01                             blake2b_compress (blake2b-ref.c:200 @ 872e)
  0.02     50.71     0.01                             blake2b_compress (blake2b-ref.c:200 @ 874f)
  0.02     50.72     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87d1)
  0.02     50.73     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87db)
  0.02     50.74     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87fd)
  0.02     50.75     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8817)
  0.02     50.76     0.01                             blake2b_compress (blake2b-ref.c:201 @ 882b)
  0.02     50.77     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88a7)
  0.02     50.78     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88c7)
  0.02     50.79     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88dc)
  0.02     50.80     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8901)
  0.02     50.81     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8921)
  0.02     50.82     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8939)
  0.02     50.83     0.01                             blake2b_compress (blake2b-ref.c:201 @ 89b2)
  0.02     50.84     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a1c)
  0.02     50.85     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b27)
  0.02     50.86     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b66)
  0.02     50.87     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b7a)
  0.02     50.88     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b8b)
  0.02     50.89     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b98)
  0.02     50.90     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8bb3)
  0.02     50.91     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8bc6)
  0.02     50.92     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c2a)
  0.02     50.93     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c31)
  0.02     50.94     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c67)
  0.02     50.95     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cba)
  0.02     50.96     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d6b)
  0.02     50.97     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8dcb)
  0.02     50.98     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8de9)
  0.02     50.99     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e62)
  0.02     51.00     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e76)
  0.02     51.01     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e89)
  0.02     51.02     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f12)
  0.02     51.03     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f62)
  0.02     51.04     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f73)
  0.02     51.05     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f7d)
  0.02     51.06     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f86)
  0.02     51.07     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f97)
  0.02     51.08     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fab)
  0.02     51.09     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fb4)
  0.02     51.10     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9041)
  0.02     51.11     0.01                             blake2b_compress (blake2b-ref.c:205 @ 905c)
  0.02     51.12     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90b9)
  0.02     51.13     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9158)
  0.02     51.14     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91bd)
  0.02     51.15     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91e1)
  0.02     51.16     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9318)
  0.02     51.17     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.02     51.18     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9357)
  0.02     51.19     0.01                             blake2b_compress (blake2b-ref.c:207 @ 936b)
  0.02     51.20     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9399)
  0.02     51.21     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9407)
  0.02     51.22     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9483)
  0.02     51.23     0.01                             blake2b_compress (blake2b-ref.c:207 @ 948d)
  0.02     51.24     0.01                             blake2b_compress (blake2b-ref.c:207 @ 94a5)
  0.02     51.25     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9518)
  0.02     51.26     0.01                             blake2b_compress (blake2b-ref.c:208 @ 954b)
  0.02     51.27     0.01                             blake2b_compress (blake2b-ref.c:209 @ 96d7)
  0.02     51.28     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9717)
  0.02     51.29     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9782)
  0.02     51.30     0.01                             blake2b_compress (blake2b-ref.c:209 @ 979d)
  0.02     51.31     0.01                             blake2b_compress (blake2b-ref.c:209 @ 97c7)
  0.02     51.32     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9850)
  0.02     51.33     0.01                             blake2b_compress (blake2b-ref.c:209 @ 98b2)
  0.02     51.34     0.01                             blake2b_compress (blake2b-ref.c:210 @ 993d)
  0.02     51.35     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a45)
  0.02     51.36     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a66)
  0.02     51.37     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b05)
  0.02     51.38     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b2d)
  0.02     51.39     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b49)
  0.02     51.40     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b78)
  0.02     51.41     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bac)
  0.02     51.42     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bd7)
  0.02     51.43     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c30)
  0.02     51.44     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c4f)
  0.02     51.45     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c5d)
  0.02     51.46     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c80)
  0.02     51.47     0.01                             blake2b_compress (blake2b-ref.c:213 @ 9cf2)
  0.02     51.48     0.01                             blake2b_compress (blake2b-ref.c:213 @ 9d11)
  0.02     51.49     0.01                             blake2b_increment_counter (blake2b-ref.c:68 @ 9e15)
  0.02     51.50     0.01                             blake2b_update (blake2b-ref.c:235 @ 9dd8)
  0.02     51.51     0.01                             blake2b_update (blake2b-ref.c:235 @ 9e2c)
  0.02     51.52     0.01                             rabinkarp_update (rabinkarp.c:94 @ 7f6f)
  0.02     51.53     0.01                             rotr64 (blake2-impl.h:155 @ 86db)
  0.02     51.54     0.01                             rotr64 (blake2-impl.h:155 @ 874b)
  0.02     51.55     0.01                             rotr64 (blake2-impl.h:155 @ 877b)
  0.02     51.56     0.01                             rotr64 (blake2-impl.h:155 @ 8792)
  0.02     51.57     0.01                             rotr64 (blake2-impl.h:155 @ 8813)
  0.02     51.58     0.01                             rotr64 (blake2-impl.h:155 @ 8827)
  0.02     51.59     0.01                             rotr64 (blake2-impl.h:155 @ 8888)
  0.02     51.60     0.01                             rotr64 (blake2-impl.h:155 @ 88d8)
  0.02     51.61     0.01                             rotr64 (blake2-impl.h:155 @ 88f9)
  0.02     51.62     0.01                             rotr64 (blake2-impl.h:155 @ 8985)
  0.02     51.63     0.01                             rotr64 (blake2-impl.h:155 @ 8a28)
  0.02     51.64     0.01                             rotr64 (blake2-impl.h:155 @ 8a3c)
  0.02     51.65     0.01                             rotr64 (blake2-impl.h:155 @ 8a6b)
  0.02     51.66     0.01                             rotr64 (blake2-impl.h:155 @ 8bb9)
  0.02     51.67     0.01                             rotr64 (blake2-impl.h:155 @ 8bdd)
  0.02     51.68     0.01                             rotr64 (blake2-impl.h:155 @ 8c23)
  0.02     51.69     0.01                             rotr64 (blake2-impl.h:155 @ 8c48)
  0.02     51.70     0.01                             rotr64 (blake2-impl.h:155 @ 8ca5)
  0.02     51.71     0.01                             rotr64 (blake2-impl.h:155 @ 8cfc)
  0.02     51.72     0.01                             rotr64 (blake2-impl.h:155 @ 8dc3)
  0.02     51.73     0.01                             rotr64 (blake2-impl.h:155 @ 8f0e)
  0.02     51.74     0.01                             rotr64 (blake2-impl.h:155 @ 8f18)
  0.02     51.75     0.01                             rotr64 (blake2-impl.h:155 @ 8fb1)
  0.02     51.76     0.01                             rotr64 (blake2-impl.h:155 @ 9079)
  0.02     51.77     0.01                             rotr64 (blake2-impl.h:155 @ 91d0)
  0.02     51.78     0.01                             rotr64 (blake2-impl.h:155 @ 9242)
  0.02     51.79     0.01                             rotr64 (blake2-impl.h:155 @ 9339)
  0.02     51.80     0.01                             rotr64 (blake2-impl.h:155 @ 935d)
  0.02     51.81     0.01                             rotr64 (blake2-impl.h:155 @ 9371)
  0.02     51.82     0.01                             rotr64 (blake2-impl.h:155 @ 9418)
  0.02     51.83     0.01                             rotr64 (blake2-impl.h:155 @ 94a1)
  0.02     51.84     0.01                             rotr64 (blake2-impl.h:155 @ 9543)
  0.02     51.85     0.01                             rotr64 (blake2-impl.h:155 @ 961f)
  0.02     51.86     0.01                             rotr64 (blake2-impl.h:155 @ 964e)
  0.02     51.87     0.01                             rotr64 (blake2-impl.h:155 @ 965c)
  0.02     51.88     0.01                             rotr64 (blake2-impl.h:155 @ 96b7)
  0.02     51.89     0.01                             rotr64 (blake2-impl.h:155 @ 9763)
  0.02     51.90     0.01                             rotr64 (blake2-impl.h:155 @ 976d)
  0.02     51.91     0.01                             rotr64 (blake2-impl.h:155 @ 9824)
  0.02     51.92     0.01                             rotr64 (blake2-impl.h:155 @ 9950)
  0.02     51.93     0.01                             rotr64 (blake2-impl.h:155 @ 999e)
  0.02     51.94     0.01                             rotr64 (blake2-impl.h:155 @ 99ae)
  0.02     51.95     0.01                             rotr64 (blake2-impl.h:155 @ 99c2)
  0.02     51.96     0.01                             rotr64 (blake2-impl.h:155 @ 9a58)
  0.02     51.97     0.01                             rotr64 (blake2-impl.h:155 @ 9ab9)
  0.02     51.98     0.01                             rotr64 (blake2-impl.h:155 @ 9bb9)
  0.02     51.99     0.01                             rotr64 (blake2-impl.h:155 @ 9c2c)
  0.02     52.00     0.01                             rotr64 (blake2-impl.h:155 @ 9ce8)
  0.02     52.01     0.01                             rs_findmatch (delta.c:228 @ 5f27)
  0.02     52.02     0.01                             rs_outfilebuf_drain (buf.c:131 @ 56ab)
  0.02     52.03     0.01                             rs_scoop_readahead (scoop.c:153 @ 8181)
  0.02     52.04     0.01                             rs_scoop_total_avail (scoop.c:230 @ 82ba)
  0.02     52.05     0.01                             rs_suck_n4 (netint.c:117 @ 756a)
