Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.01    109.11     0.02                             rotr64 (blake2-impl.h:155 @ 8eee)
  0.01    109.12     0.02                             rotr64 (blake2-impl.h:155 @ 925e)
  0.01    109.14     0.02                             rotr64 (blake2-impl.h:155 @ 970e)
  0.01    109.15     0.02                             rotr64 (blake2-impl.h:155 @ 9c78)
  0.01    109.17     0.02                             rs_scoop_total_avail (scoop.c:229 @ 823a)
  0.01    109.18     0.02                             rs_infilebuf_fill (buf.c:103 @ 5604)
  0.01    109.20     0.02                             rs_job_drive (job.c:167 @ 69a5)
  0.01    109.21     0.02                             rs_loadsig_s_weak (readsums.c:61 @ 7bcf)
  0.01    109.22     0.01  1147652     8.71     8.71  rs_job_iter (job.c:94 @ 67a0)
  0.01    109.23     0.01  1146882     8.72     8.72  rs_outfilebuf_drain (buf.c:131 @ 5690)
  0.01    109.24     0.01  1048576     9.54     9.54  rs_signature_add_block (sumset.c:228 @ 4630)
  0.01    109.25     0.01   654956    15.27    15.27  blake2b_final (blake2b-ref.c:249 @ a080)
  0.01    109.26     0.01                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.01    109.27     0.01                             blake2b_compress (blake2b-ref.c:200 @ 85da)
  0.01    109.28     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8683)
  0.01    109.29     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86a9)
  0.01    109.30     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86be)
  0.01    109.31     0.01                             blake2b_compress (blake2b-ref.c:200 @ 871c)
  0.01    109.32     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8796)
  0.01    109.33     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
  0.01    109.34     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87e9)
  0.01    109.35     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88b1)
  0.01    109.36     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88e0)
  0.01    109.37     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8924)
  0.01    109.38     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8931)
  0.01    109.39     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8956)
  0.01    109.40     0.01                             blake2b_compress (blake2b-ref.c:202 @ 89ac)
  0.01    109.41     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a63)
  0.01    109.42     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b1b)
  0.01    109.43     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8b84)
  0.01    109.44     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c2c)
  0.01    109.45     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
  0.01    109.46     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cdd)
  0.01    109.47     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cfb)
  0.01    109.48     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d05)
  0.01    109.49     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8d79)
  0.01    109.50     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8db8)
  0.01    109.51     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8df2)
  0.01    109.52     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8eca)
  0.01    109.53     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f27)
  0.01    109.54     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f3b)
  0.01    109.55     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fad)
  0.01    109.56     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fec)
  0.01    109.57     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9011)
  0.01    109.58     0.01                             blake2b_compress (blake2b-ref.c:205 @ 903c)
  0.01    109.59     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90a4)
  0.01    109.60     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90b1)
  0.01    109.61     0.01                             blake2b_compress (blake2b-ref.c:206 @ 90e8)
  0.01    109.62     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.01    109.63     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91e3)
  0.01    109.64     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9237)
  0.01    109.65     0.01                             blake2b_compress (blake2b-ref.c:206 @ 925b)
  0.01    109.66     0.01                             blake2b_compress (blake2b-ref.c:206 @ 928a)
  0.01    109.67     0.01                             blake2b_compress (blake2b-ref.c:207 @ 93d3)
  0.01    109.68     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9538)
  0.01    109.69     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9572)
  0.01    109.70     0.01                             blake2b_compress (blake2b-ref.c:208 @ 95a3)
  0.01    109.71     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9672)
  0.01    109.72     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9696)
  0.01    109.73     0.01                             blake2b_compress (blake2b-ref.c:209 @ 96b1)
  0.01    109.74     0.01                             blake2b_compress (blake2b-ref.c:209 @ 96bb)
  0.01    109.75     0.01                             blake2b_compress (blake2b-ref.c:209 @ 96c4)
