Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.02     43.99     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9abc)
  0.02     44.00     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9ac3)
  0.02     44.01     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b32)
  0.02     44.02     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b46)
  0.02     44.03     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bc1)
  0.02     44.04     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c0d)
  0.02     44.05     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c8c)
  0.02     44.06     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9d2f)
  0.02     44.07     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9d4f)
  0.02     44.08     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9d60)
  0.02     44.09     0.01                             blake2b_increment_counter (blake2b-ref.c:68 @ 9eea)
  0.02     44.10     0.01                             blake2b_update (blake2b-ref.c:237 @ 9f07)
  0.02     44.11     0.01                             rotr64 (blake2-impl.h:155 @ 8742)
  0.02     44.12     0.01                             rotr64 (blake2-impl.h:155 @ 87df)
  0.02     44.13     0.01                             rotr64 (blake2-impl.h:155 @ 87ec)
  0.02     44.14     0.01                             rotr64 (blake2-impl.h:155 @ 88c5)
  0.02     44.15     0.01                             rotr64 (blake2-impl.h:155 @ 88e3)
  0.02     44.16     0.01                             rotr64 (blake2-impl.h:155 @ 89b8)
  0.02     44.17     0.01                             rotr64 (blake2-impl.h:155 @ 8a70)
  0.02     44.18     0.01                             rotr64 (blake2-impl.h:155 @ 8bfc)
  0.02     44.19     0.01                             rotr64 (blake2-impl.h:155 @ 8c38)
  0.02     44.20     0.01                             rotr64 (blake2-impl.h:155 @ 8c8f)
  0.02     44.21     0.01                             rotr64 (blake2-impl.h:155 @ 8cd1)
  0.02     44.22     0.01                             rotr64 (blake2-impl.h:155 @ 8d0d)
  0.02     44.23     0.01                             rotr64 (blake2-impl.h:155 @ 8d28)
  0.02     44.24     0.01                             rotr64 (blake2-impl.h:155 @ 8d78)
  0.02     44.25     0.01                             rotr64 (blake2-impl.h:155 @ 8e75)
  0.02     44.26     0.01                             rotr64 (blake2-impl.h:155 @ 8ec1)
  0.02     44.27     0.01                             rotr64 (blake2-impl.h:155 @ 8ef7)
  0.02     44.28     0.01                             rotr64 (blake2-impl.h:155 @ 9195)
  0.02     44.29     0.01                             rotr64 (blake2-impl.h:155 @ 91f0)
  0.02     44.30     0.01                             rotr64 (blake2-impl.h:155 @ 92b0)
  0.02     44.31     0.01                             rotr64 (blake2-impl.h:155 @ 936e)
  0.02     44.32     0.01                             rotr64 (blake2-impl.h:155 @ 9402)
  0.02     44.33     0.01                             rotr64 (blake2-impl.h:155 @ 948d)
  0.02     44.34     0.01                             rotr64 (blake2-impl.h:155 @ 9530)
  0.02     44.35     0.01                             rotr64 (blake2-impl.h:155 @ 9581)
  0.02     44.36     0.01                             rotr64 (blake2-impl.h:155 @ 9677)
  0.02     44.37     0.01                             rotr64 (blake2-impl.h:155 @ 98d9)
  0.02     44.38     0.01                             rotr64 (blake2-impl.h:155 @ 9965)
  0.02     44.39     0.01                             rotr64 (blake2-impl.h:155 @ 997e)
  0.02     44.40     0.01                             rotr64 (blake2-impl.h:155 @ 9a30)
  0.02     44.41     0.01                             rotr64 (blake2-impl.h:155 @ 9abf)
  0.02     44.42     0.01                             rotr64 (blake2-impl.h:155 @ 9c09)
  0.02     44.43     0.01                             rotr64 (blake2-impl.h:155 @ 9c50)
  0.02     44.44     0.01                             rotr64 (blake2-impl.h:155 @ 9d0c)
  0.02     44.45     0.01                             rotr64 (blake2-impl.h:155 @ 9d36)
  0.02     44.46     0.01                             rotr64 (blake2-impl.h:155 @ 9d5c)
  0.02     44.47     0.01                             rotr64 (blake2-impl.h:155 @ 9d90)
  0.02     44.48     0.01                             rotr64 (blake2-impl.h:155 @ 9dc8)
  0.02     44.49     0.01                             rs_build_hash_table (sumset.c:286 @ 4b90)
  0.02     44.50     0.01                             rs_processmatch (delta.c:331 @ 61c6)
  0.02     44.51     0.01                             rs_scoop_input (scoop.c:93 @ 81c2)
  0.02     44.52     0.01                             rs_signature_find_match (sumset.c:257 @ 48a8)
  0.02     44.53     0.01                             rs_suck_netint (netint.c:104 @ 75dc)
  0.02     44.54     0.01                             weaksum_rotate (checksum.h:92 @ 5efe)
  0.01     44.55     0.01    32844   152.26   152.26  rs_job_iter (job.c:94 @ 6760)
  0.01     44.55     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87d3)
  0.01     44.56     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88a4)
  0.01     44.56     0.01                             blake2b_compress (blake2b-ref.c:200 @ 88ab)
  0.01     44.57     0.01                             blake2b_compress (blake2b-ref.c:200 @ 88d3)
  0.01     44.57     0.01                             blake2b_compress (blake2b-ref.c:200 @ 88dd)
  0.01     44.58     0.01                             blake2b_compress (blake2b-ref.c:201 @ 890b)
  0.01     44.58     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a92)
  0.01     44.59     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b96)
  0.01     44.59     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8bf2)
  0.01     44.60     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8c3c)
  0.01     44.60     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8ccb)
  0.01     44.61     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d11)
  0.01     44.61     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8da3)
  0.01     44.62     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8e2d)
  0.01     44.62     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8e55)
  0.01     44.63     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8e69)
  0.01     44.63     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f3b)
  0.01     44.64     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f73)
  0.01     44.64     0.01                             blake2b_compress (blake2b-ref.c:204 @ 901a)
  0.01     44.65     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9037)
  0.01     44.65     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9081)
  0.01     44.66     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9172)
  0.01     44.66     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9302)
  0.01     44.67     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.01     44.67     0.01                             blake2b_compress (blake2b-ref.c:207 @ 948a)
  0.01     44.68     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9491)
  0.01     44.68     0.01                             blake2b_compress (blake2b-ref.c:207 @ 94c7)
  0.01     44.69     0.01                             blake2b_compress (blake2b-ref.c:207 @ 95d5)
  0.01     44.69     0.01                             blake2b_compress (blake2b-ref.c:208 @ 96bb)
  0.01     44.70     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9732)
  0.01     44.70     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9740)
  0.01     44.71     0.01                             blake2b_compress (blake2b-ref.c:208 @ 977c)
  0.01     44.71     0.01                             blake2b_compress (blake2b-ref.c:208 @ 97d3)
  0.01     44.72     0.01                             blake2b_compress (blake2b-ref.c:209 @ 980b)
  0.01     44.72     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9992)
  0.01     44.73     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a96)
  0.01     44.73     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b07)
  0.01     44.74     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b5a)
  0.01     44.74     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b78)
  0.01     44.75     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b89)
  0.01     44.75     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b9d)
  0.01     44.76     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bdb)
  0.01     44.76     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9d7f)
  0.01     44.77     0.01                             blake2b_update (blake2b-ref.c:221 @ 9e3d)
  0.01     44.77     0.01                             blake2b_update (blake2b-ref.c:228 @ 9e4a)
  0.01     44.78     0.01                             rabinkarp_update (rabinkarp.c:94 @ 804f)
  0.01     44.78     0.01                             rotr64 (blake2-impl.h:155 @ 8712)
  0.01     44.79     0.01                             rotr64 (blake2-impl.h:155 @ 87cb)
  0.01     44.79     0.01                             rotr64 (blake2-impl.h:155 @ 8872)
  0.01     44.80     0.01                             rotr64 (blake2-impl.h:155 @ 8907)
  0.01     44.80     0.01                             rotr64 (blake2-impl.h:155 @ 8a9e)
  0.01     44.81     0.01                             rotr64 (blake2-impl.h:155 @ 8ba2)
  0.01     44.81     0.01                             rotr64 (blake2-impl.h:155 @ 8bbf)
  0.01     44.82     0.01                             rotr64 (blake2-impl.h:155 @ 8bee)
  0.01     44.82     0.01                             rotr64 (blake2-impl.h:155 @ 8c42)
  0.01     44.83     0.01                             rotr64 (blake2-impl.h:155 @ 8c82)
  0.01     44.83     0.01                             rotr64 (blake2-impl.h:155 @ 8cc7)
  0.01     44.84     0.01                             rotr64 (blake2-impl.h:155 @ 8d1e)
  0.01     44.84     0.01                             rotr64 (blake2-impl.h:155 @ 8da6)
  0.01     44.85     0.01                             rotr64 (blake2-impl.h:155 @ 8e3e)
  0.01     44.85     0.01                             rotr64 (blake2-impl.h:155 @ 8e5b)
  0.01     44.86     0.01                             rotr64 (blake2-impl.h:155 @ 8e6f)
  0.01     44.86     0.01                             rotr64 (blake2-impl.h:155 @ 8f37)
  0.01     44.87     0.01                             rotr64 (blake2-impl.h:155 @ 8f6f)
  0.01     44.87     0.01                             rotr64 (blake2-impl.h:155 @ 9017)
  0.01     44.88     0.01                             rotr64 (blake2-impl.h:155 @ 9087)
  0.01     44.88     0.01                             rotr64 (blake2-impl.h:155 @ 90de)
  0.01     44.89     0.01                             rotr64 (blake2-impl.h:155 @ 917e)
  0.01     44.89     0.01                             rotr64 (blake2-impl.h:155 @ 920a)
  0.01     44.90     0.01                             rotr64 (blake2-impl.h:155 @ 921e)
  0.01     44.90     0.01                             rotr64 (blake2-impl.h:155 @ 930e)
  0.01     44.91     0.01                             rotr64 (blake2-impl.h:155 @ 932f)
  0.01     44.91     0.01                             rotr64 (blake2-impl.h:155 @ 940f)
  0.01     44.92     0.01                             rotr64 (blake2-impl.h:155 @ 9483)
  0.01     44.92     0.01                             rotr64 (blake2-impl.h:155 @ 949e)
  0.01     44.93     0.01                             rotr64 (blake2-impl.h:155 @ 94c3)
  0.01     44.93     0.01                             rotr64 (blake2-impl.h:155 @ 95db)
  0.01     44.94     0.01                             rotr64 (blake2-impl.h:155 @ 96b7)
  0.01     44.94     0.01                             rotr64 (blake2-impl.h:155 @ 972e)
  0.01     44.95     0.01                             rotr64 (blake2-impl.h:155 @ 9743)
  0.01     44.95     0.01                             rotr64 (blake2-impl.h:155 @ 9797)
  0.01     44.96     0.01                             rotr64 (blake2-impl.h:155 @ 97cf)
  0.01     44.96     0.01                             rotr64 (blake2-impl.h:155 @ 9807)
  0.01     44.97     0.01                             rotr64 (blake2-impl.h:155 @ 9883)
  0.01     44.97     0.01                             rotr64 (blake2-impl.h:155 @ 999e)
  0.01     44.98     0.01                             rotr64 (blake2-impl.h:155 @ 99b2)
  0.01     44.98     0.01                             rotr64 (blake2-impl.h:155 @ 9a8e)
  0.01     44.99     0.01                             rotr64 (blake2-impl.h:155 @ 9b03)
  0.01     44.99     0.01                             rotr64 (blake2-impl.h:155 @ 9b57)
  0.01     45.00     0.01                             rotr64 (blake2-impl.h:155 @ 9b8f)
  0.01     45.00     0.01                             rotr64 (blake2-impl.h:155 @ 9ba3)
  0.01     45.01     0.01                             rotr64 (blake2-impl.h:155 @ 9bb3)
  0.01     45.01     0.01                             rotr64 (blake2-impl.h:155 @ 9bd8)
  0.01     45.02     0.01                             rotr64 (blake2-impl.h:155 @ 9c7b)
  0.01     45.02     0.01                             rotr64 (blake2-impl.h:155 @ 9cb3)
  0.01     45.03     0.01                             rotr64 (blake2-impl.h:155 @ 9d7c)
  0.01     45.03     0.01                             rotr64 (blake2-impl.h:155 @ 9db3)
  0.01     45.04     0.01                             rs_findmatch (delta.c:225 @ 5fac)
  0.01     45.04     0.01                             rs_findmatch (delta.c:230 @ 5fb0)
  0.01     45.05     0.01                             rs_job_free (job.c:70 @ 6750)
  0.01     45.05     0.01                             rs_scoop_input (scoop.c:88 @ 81a0)
  0.01     45.06     0.01                             rs_scoop_input (scoop.c:92 @ 81ba)
  0.00     45.06     0.00   163928     0.00     0.00  rs_tube_catchup (tube.c:137 @ 83a0)
  0.00     45.06     0.00    65613     0.00     0.00  rs_scoop_read (scoop.c:193 @ 82f0)
  0.00     45.06     0.00    65613     0.00     0.00  rs_scoop_readahead (scoop.c:149 @ 8250)
  0.00     45.06     0.00    32880     0.00     0.00  rs_scoop_input (scoop.c:68 @ 80d0)
  0.00     45.06     0.00    32844     0.00     0.00  rs_infilebuf_fill (buf.c:78 @ 5620)
  0.00     45.06     0.00    32832     0.00     0.00  rs_loadsig_s_strong (readsums.c:72 @ 7ce0)
  0.00     45.06     0.00    32781     0.00     0.00  rs_suck_n4 (netint.c:110 @ 7620)
  0.00     45.06     0.00    32781     0.00     0.00  rs_suck_netint (netint.c:95 @ 75a0)
  0.00     45.06     0.00    32778     0.00     0.00  rs_loadsig_s_weak (readsums.c:57 @ 7b80)
  0.00     45.06     0.00    32776     0.00     0.00  rs_tube_write (tube.c:193 @ 85b0)
  0.00     45.06     0.00    32770     0.00     0.00  rs_outfilebuf_drain (buf.c:131 @ 5710)
